gene,rf_importance
PGA5,0.03141009964817855
AMY1A,0.023222458973674278
GABRA4,0.022817455108834785
MYH1,0.021259784893614977
PGA3,0.02030001808988012
CPA2,0.019742574283171433
SPRY2,0.01835425798001791
LALBA,0.017366077905762976
FEZF2,0.01705759599926111
CSN1S1,0.016586534848662668
SPRR2B,0.01607918118253187
FTMT,0.01447282780863707
ACSM2A,0.01437290244667505
CPA1,0.014056215968159905
SLC36A2,0.014001554446438805
CSN2,0.013302643306072077
C16ORF82,0.013063756466633188
CTXN3,0.012854435806884673
AFM,0.012391710816613902
APOB,0.01183136271664606
GYS2,0.01124463184833172
AGXT,0.011231484634975438
CARD18,0.01059254947105916
SPRR2F,0.010557766298897075
MATN2,0.009977177843071958
LRRC3B,0.008459787939691675
MME,0.008256875861372267
CST1,0.008168932446459302
PGA4,0.008112414298150246
GKN1,0.00800349235868838
PRSS55,0.007966820168032568
FAM71A,0.00787133695698545
CLEC4M,0.007821765242227292
LIPK,0.007439327835514741
LYPD2,0.007355997311211339
CD300LG,0.0072302988579219804
TMEM220,0.006995971987195927
ADAMTS5,0.006838981926475086
NTRK2,0.006831316044409855
HOXA7,0.00668949730376538
LMOD1,0.006507919004315396
OR5I1,0.006236156246096225
MYH2,0.006033622733099341
MAMDC2,0.005950813966835544
PAMR1,0.0058970122807818
PPP1R12B,0.005803725724367637
ABCA10,0.005680673443502511
CDH20,0.005599488273118879
CA4,0.00533734803459697
STOML3,0.005295031196629724
