gene,mean_abs_shap
PGA5,0.012476389599119522
PGA3,0.011932440232875327
AMY1A,0.01035112184025438
GABRA4,0.00922213938716086
MYH1,0.008843019799338525
ACSM2A,0.0073275740272054435
CDY2B,0.007048339941238007
CPA2,0.0067816322385217355
OR5I1,0.006689998783916691
APOB,0.006689310183884664
C16ORF82,0.006595865920790679
CPA1,0.006458065327094334
VCY,0.006215579931854152
PRY2,0.00599096010492067
SLC36A2,0.0054762621087860695
DEFB104A,0.005229225800809217
CT47A6,0.005125394663290353
AFM,0.004930718420122871
FEZF2,0.004834356450362427
GYS2,0.004791900517754339
CTXN3,0.004637953974065163
PRSS55,0.004476465758715561
C1QTNF9,0.004474392560739715
CARD18,0.004440464926841332
FAM71A,0.004368485981410734
KRTAP15-1,0.004327296967677831
FTMT,0.004316323400641932
CSN2,0.004056445984296251
GKN1,0.003927046715188772
PGA4,0.003907643414593623
TRIM64,0.0038682611129130205
RBMY1E,0.0038639208462002
SPRR2F,0.0038430313212855748
CSN1S1,0.003828600759981211
LIPK,0.003794619038153382
SPRR2B,0.0037304202588257355
OR5F1,0.0036528767547002665
CLEC4M,0.003608252805726476
LALBA,0.003522767638287377
LRRC3B,0.0031723944798648807
DEFB106A,0.003135390460965026
AGXT,0.002992851810602318
RBMY1J,0.0029543379024344176
MYH2,0.0029417156623776112
TMPRSS12,0.002888174543514005
CCT8L2,0.0028075810873873165
OR5M10,0.002767177169703069
DAOA,0.0027596939320820636
OR5D16,0.0027442083627916888
FABP1,0.002732032140740193
