gene,mean_abs_shap
FTMT,1.058474
SPRR2B,0.8489992
PGA5,0.8395132
ACSM2A,0.6123413
LALBA,0.55431175
GKN1,0.4508295
SPRR2F,0.44534755
FEZF2,0.41988748
CPA1,0.3524503
ACSM2B,0.32117045
COMP,0.31393692
CSN1S1,0.2905226
DEFB121,0.2568818
COL10A1,0.24645379
CST1,0.21622397
GABRA4,0.2103075
FAM71A,0.20240086
AFM,0.19956647
MYH1,0.18658896
MYH2,0.17798537
C1QTNF9,0.1657828
MSMB,0.15359575
ADIG,0.14262326
LIPF,0.12958825
SLC36A2,0.12527637
PKD1L2,0.123380676
C11orf40,0.116059616
ARHGAP20,0.11316703
CST4,0.11282152
TBC1D3H,0.11171491
CLCA1,0.10863484
ADH4,0.105816886
GLRA4,0.099066064
LYPD2,0.09786066
SPP1,0.09726004
HSD17B6,0.09626208
TNNT1,0.08898939
DEFB115,0.08765318
AGXT,0.08680436
CSN2,0.08125301
MIF,0.07491809
CXCL12,0.07474747
RNASE11,0.072030686
ASPA,0.07117779
SCN4A,0.06960209
CPA2,0.06918666
TNXB,0.06551119
CD300LG,0.065298684
PTH2,0.06390203
SYNM,0.062860355
