gene,cover
FTMT,1057.55615234375
FOXM1,830.8448486328125
ANGPT4,824.4440307617188
PGR,763.11865234375
AURKA,723.39208984375
COX6C,633.7353515625
SLC36A2,577.4713745117188
GYS2,560.1636962890625
UPP1,540.6168212890625
KIAA0408,535.5913696289062
PGA5,526.2413940429688
MYH1,500.64215087890625
CST1,466.8297424316406
CPA1,405.7678527832031
CLEC4M,403.12530517578125
LRRC3B,374.1863098144531
NMBR,332.2700500488281
IBSP,322.3397216796875
PGA3,311.734130859375
KCNE1,300.04876708984375
LRRTM2,295.8499450683594
CSN1S1,278.2217102050781
CDH20,268.8033447265625
CST4,243.2433624267578
ACSM2A,239.73745727539062
FEZF2,238.69931030273438
SLC35A2,212.5823974609375
TRPM3,207.0400390625
CAPN11,205.19056701660156
DHPS,203.03416442871094
AMY1A,202.59889221191406
TBC1D3H,197.7107696533203
CPA2,193.10824584960938
TOP2A,170.88795471191406
CDY2B,170.68942260742188
MYH2,168.5491485595703
ISM1,163.45620727539062
VEGFA,160.96522521972656
EGR1,156.40789794921875
AGXT,147.66244506835938
MRAP,144.76467895507812
TSLP,144.10751342773438
SLC7A14,140.88636779785156
HSFX1,133.27720642089844
DEFB121,127.77201080322266
MMP11,122.88981628417969
CCND1,121.39547729492188
C2orf83,119.8883056640625
ARHGAP20,114.31847381591797
RNASE12,113.4234619140625
