gene,weight
IBSP,71.0
TBC1D3H,68.0
LALBA,60.0
COL10A1,60.0
HSD17B6,59.0
CST1,57.0
CST4,57.0
PGA5,48.0
MSMB,43.0
GLRA4,42.0
SYNM,42.0
COMP,39.0
TSLP,33.0
C1QTNF9,32.0
FTMT,32.0
SPRR2B,30.0
CSN1S1,29.0
MMP1,29.0
ARHGAP20,27.0
ACSM2A,26.0
ADAMTS5,26.0
CPA1,26.0
AMY1A,26.0
SPRR2F,26.0
GKN1,25.0
DEFB121,25.0
ITIH5,25.0
TNXB,24.0
CNN1,24.0
CES1,24.0
MYH2,23.0
MMP11,22.0
CD300LG,21.0
C11orf40,20.0
SLC17A7,20.0
MYH1,20.0
PAMR1,19.0
IQGAP3,19.0
ADH4,18.0
TNNT1,18.0
SCN4A,18.0
PKD1L2,18.0
SLC35A2,17.0
SNCA,17.0
FEZF2,17.0
ACSM2B,17.0
KIAA0408,16.0
CPA2,16.0
SCN4B,15.0
CCL11,15.0
