gene,mean_abs_shap
OR10V1,0.008256535863128866
PGA3,0.008185763040583213
FEZF2,0.007932061442492705
FAM71A,0.0074178062421395834
AMY1A,0.0073280220762365735
PRSS55,0.007157246164252863
C16orf82,0.0071070021377483495
PGA5,0.0065270215633716966
RBMY1J,0.005635209482065935
CT47A6,0.00562132446364867
PGA4,0.005486263305223352
CDH20,0.005248296912768275
FTMT,0.005128810285999617
SLC36A2,0.0050636448633010625
GYS2,0.005039829172968164
AGXT,0.0049784913827447055
MYH2,0.004971951914142723
DEFB104A,0.004806662940941653
GABRA4,0.0047457374834183885
ACSM2A,0.004694964892665302
CPA2,0.004564209566182399
APOB,0.004365862404006955
CPA1,0.004168376017231397
MYH1,0.004103589381287504
GKN1,0.004086832354918926
LALBA,0.004059765838814684
CARD18,0.004002186485071132
OR4S2,0.003977286489986972
DEFB127,0.0039303856260852026
OR2T27,0.0037622586723007165
CSN1S1,0.0037006420585047944
CDY2B,0.0036386860997119417
VCY,0.0035599780642534195
CTXN3,0.003556195910259459
RBMY1E,0.0034126690054476078
OR5H15,0.003350527133655849
CNGB1,0.0033460500284524936
OR4C15,0.003294193061519766
TMPRSS12,0.0031202833132355084
PRAMEF5,0.0030502184618793173
SPRY2,0.0029034914408101616
TRIM64,0.0027559439402432594
DEFB113,0.0026972125974674788
CA4,0.002692780557593504
OR5F1,0.0026534376445349534
CLCA1,0.002643159176776076
CSN2,0.0026273481790247953
DEFB106A,0.002609175771309552
SLC2A2,0.002585684826939059
PAMR1,0.002576282671408384
