gene,mean_abs_shap
CPA1,0.25379491296807866
PGA5,0.1573158312559128
CST1,0.11763645148649803
CST4,0.09578037747244009
FTMT,0.09495642309983547
FEZF2,0.07274568962454818
PGA3,0.07239537621339176
ACSM2A,0.06102701105425748
IBSP,0.05352028132875765
TBC1D3H,0.028397672669092783
CSN1S1,0.02192709571719169
COL10A1,0.017917512027422533
LRRC3B,0.005011458689967801
KIAA0408,0.0027626317371924865
TRPM3,0.002692800211906436
CAPN11,0.0021089033576349374
MMP11,0.0006073203047116598
CCNB2,0.0
SPRR2B,0.0
RAB14,0.0
VEGFA,0.0
TMEM174,0.0
SPRR2F,0.0
FOXC1,0.0
EGFR,0.0
PIK3CA,0.0
CDH1,0.0
CCND1,0.0
TP53,0.0
CLCA1,0.0
FABP1,0.0
OR4C45,0.0
SLC2A2,0.0
DNAJB8,0.0
OR2T34,0.0
AZGP1,0.0
RAB11FIP3,0.0
ATP6V1G3,0.0
OR2D3,0.0
AQP12A,0.0
MBD5,0.0
FSCB,0.0
ACSM2B,0.0
HLA-E,0.0
ZBTB39,0.0
SERPINB11,0.0
OR52N1,0.0
IFNA7,0.0
KLK15,0.0
CPA2,0.0
